City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.77,61,100,4.56,PN,1689079883
1,port elizabeth,-33.918,25.5701,17.4,61,75,4.63,ZA,1689079883
2,sambava,-14.2667,50.1667,24.93,76,37,4.35,MG,1689079724
3,lihue,21.9789,-159.3672,25.77,81,100,5.66,US,1689079884
4,blackmans bay,-43.0167,147.3167,11.5,77,100,3.23,AU,1689079885
5,port-aux-francais,-49.35,70.2167,2.86,66,98,11.57,TF,1689079885
6,punta arenas,-53.15,-70.9167,1.06,93,75,2.57,CL,1689079886
7,tolanaro,-25.0319,46.9987,23.04,78,40,6.69,MG,1689079887
8,port alfred,-33.5906,26.891,17.88,61,5,2.24,ZA,1689079652
9,port lincoln,-34.7333,135.8667,11.81,74,5,4.15,AU,1689079743
10,avarua,-21.2078,-159.775,25.03,94,75,4.12,CK,1689079888
11,edinburgh of the seven seas,-37.0676,-12.3116,14.73,98,100,4.96,SH,1689079888
12,ushuaia,-54.8,-68.3,-0.19,80,0,0.0,AR,1689079889
13,iqaluit,63.7506,-68.5145,5.85,100,100,2.57,CA,1689079742
14,olonkinbyen,70.9221,-8.7187,3.68,94,94,4.98,SJ,1689079890
15,aasiaat,68.7098,-52.8699,4.09,98,100,2.83,GL,1689079890
16,ocos,14.5094,-92.1933,26.39,86,81,1.46,GT,1689079892
17,lompoc,34.6391,-120.4579,12.51,97,100,0.0,US,1689079612
18,okhotsk,59.3833,143.3,12.11,83,100,4.17,RU,1689079893
19,saipan,15.1355,145.701,27.39,100,0,3.09,MP,1689079894
20,puerto natales,-51.7236,-72.4875,0.25,80,100,2.06,CL,1689079894
21,salekhard,66.53,66.6019,18.02,40,0,5.68,RU,1689079895
22,shimoda,34.6667,138.95,26.72,93,1,7.95,JP,1689079656
23,lebu,-37.6167,-73.65,7.75,71,100,2.01,CL,1689079640
24,ribeira grande,38.5167,-28.7,22.22,94,75,4.47,PT,1689079744
25,udachny,66.4167,112.4,14.17,91,100,7.74,RU,1689079896
26,nemuro,43.3236,145.575,15.22,100,100,2.17,JP,1689079624
27,n'zeto,-7.2312,12.8666,24.1,74,10,4.69,AO,1689079757
28,cabedelo,-6.9811,-34.8339,26.37,74,20,6.44,BR,1689079898
29,grytviken,-54.2811,-36.5092,-4.12,90,92,3.27,GS,1689079710
30,waitangi,-43.9535,-176.5597,9.34,95,85,1.79,NZ,1689079899
31,dudinka,69.4058,86.1778,9.79,53,100,3.85,RU,1689079899
32,vilyuysk,63.7553,121.6247,19.13,93,84,3.21,RU,1689079900
33,chitipa,-9.7024,33.2697,25.68,36,50,5.13,MW,1689079900
34,atafu village,-8.5421,-172.5159,27.84,79,96,7.39,TK,1689079901
35,kone,-21.0595,164.8658,17.37,71,23,1.87,NC,1689079902
36,elliot lake,46.3834,-82.6331,15.46,79,25,2.62,CA,1689079902
37,mejit,10.2753,170.8646,28.03,81,40,7.01,MH,1689079903
38,margaret river,-33.95,115.0667,16.56,78,36,7.69,AU,1689079903
39,hermanus,-34.4187,19.2345,16.56,56,0,2.44,ZA,1689079904
40,kurumkan,54.3,110.3,20.19,73,1,2.69,RU,1689079904
41,port saint john's,-31.6229,29.5448,18.68,50,5,4.3,ZA,1689079905
42,yellowknife,62.456,-114.3525,13.29,67,75,3.6,CA,1689079905
43,georgetown,5.4112,100.3354,29.97,62,20,1.54,MY,1689079850
44,bilibino,68.0546,166.4372,11.61,75,93,1.0,RU,1689079906
45,nova sintra,14.8667,-24.7167,21.99,76,51,3.47,CV,1689079906
46,el alto,-4.2714,-81.2147,20.81,71,0,3.53,PE,1689079688
47,thompson,55.7435,-97.8558,11.09,82,20,2.57,CA,1689079907
48,isafjordur,66.0755,-23.124,14.02,47,0,4.12,IS,1689079908
49,bikenibeu village,1.3673,173.1241,27.98,83,40,2.06,KI,1689079908
50,stanley,54.868,-1.6985,20.29,65,20,6.69,GB,1689079909
51,kangding,30.0513,101.9603,18.52,99,100,1.69,CN,1689079909
52,solnechnyy,50.7214,136.6319,17.07,52,100,1.73,RU,1689079910
53,mosjoen,65.836,13.1908,26.29,41,0,4.12,NO,1689079910
54,timbuktu,16.7735,-3.0074,39.17,22,11,3.12,ML,1689079848
55,richards bay,-28.783,32.0377,17.31,69,90,6.85,ZA,1689079671
56,puerto rico,-26.796,-55.024,20.59,99,100,0.8,AR,1689079911
57,tura,25.5198,90.2201,24.67,96,100,3.27,IN,1689079912
58,pocao de pedras,-4.6667,-44.85,30.04,59,0,1.82,BR,1689079913
59,fortuna,40.5982,-124.1573,14.4,96,100,2.57,US,1689079913
60,flying fish cove,-10.4217,105.6791,24.82,88,100,6.17,CX,1689079914
61,sabang,5.8933,95.3214,28.2,73,82,5.3,ID,1689079915
62,dakhla,23.6848,-15.958,25.01,69,10,14.92,EH,1689079915
63,bethel,41.3712,-73.414,23.82,74,0,0.45,US,1689079916
64,tarauaca,-8.1614,-70.7656,26.46,72,1,0.9,BR,1689079916
65,guerrero negro,27.9769,-114.0611,19.72,71,100,1.3,MX,1689079917
66,wailua homesteads,22.0669,-159.378,25.44,86,100,5.66,US,1689079917
67,haiku-pauwela,20.9219,-156.3051,24.47,75,0,3.6,US,1689079918
68,papatowai,-46.5619,169.4708,6.88,83,100,3.83,NZ,1689079918
69,flin flon,54.7682,-101.865,11.91,82,75,0.0,CA,1689079919
70,punta del este,-34.9667,-54.95,11.04,80,75,2.68,UY,1689079919
71,kerikeri,-35.2268,173.9474,7.73,91,40,2.37,NZ,1689079920
72,polyarnyy,69.1989,33.4478,22.59,41,21,2.59,RU,1689079920
73,suva,-18.1416,178.4415,22.71,78,75,1.54,FJ,1689079921
74,atar,20.5169,-13.0499,33.03,49,10,11.83,MR,1689079921
75,mundemba,4.9479,8.8724,28.88,73,74,2.91,CM,1689079921
76,al ghayzah,16.2079,52.176,29.68,76,21,6.48,YE,1689079922
77,khandyga,62.6667,135.6,18.8,71,52,2.41,RU,1689079922
78,christchurch,-43.5333,172.6333,8.84,92,20,2.24,NZ,1689079845
79,west island,-12.1568,96.8225,24.99,83,75,8.23,CC,1689079924
80,port-cartier,50.0334,-66.8654,15.42,95,100,8.39,CA,1689079924
81,valparaiso,-33.0393,-71.6273,15.56,60,75,2.06,CL,1689079925
82,vorgashor,67.5833,63.95,12.91,50,0,6.57,RU,1689079925
83,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,20,1.0,RU,1689079926
84,jutai,-5.1833,-68.9,26.2,73,0,0.11,BR,1689079926
85,boende,-0.2167,20.8667,32.78,43,99,0.6,CD,1689079764
86,bengkulu,-3.8004,102.2655,25.88,88,100,3.38,ID,1689079611
87,ambon,-3.6954,128.1814,27.15,95,40,2.06,ID,1689079473
88,luderitz,-26.6481,15.1594,22.62,23,0,2.78,NA,1689079806
89,saint george,37.1041,-113.5841,26.08,34,0,3.6,US,1689079928
90,fale old settlement,-9.3852,-171.2468,28.14,78,100,7.59,TK,1689079929
91,khovd,48.0056,91.6419,15.4,60,99,4.71,MN,1689079751
92,ola,59.5833,151.2833,10.83,71,100,1.83,RU,1689079930
93,yichang,30.7144,111.2847,29.5,82,100,0.71,CN,1689079930
94,soio,-6.1349,12.3689,24.05,75,23,4.83,AO,1689079712
95,evergreen,39.6333,-105.3172,20.33,46,0,0.45,US,1689079931
96,albany,42.6001,-73.9662,22.6,84,8,0.45,US,1689079932
97,newman,37.3138,-121.0208,17.38,71,0,0.66,US,1689079932
98,pekan,3.4836,103.3996,24.06,88,100,3.27,MY,1689079933
99,kodiak,57.79,-152.4072,8.73,100,100,2.57,US,1689079933
100,egilsstadir,65.2653,-14.3948,7.95,81,100,8.23,IS,1689079934
101,ringkobing,56.0901,8.244,22.23,87,100,9.1,DK,1689079934
102,severoural'sk,60.1533,59.952,16.47,89,100,3.22,RU,1689079935
103,myshkin,57.7897,38.4545,16.61,50,99,6.26,RU,1689079935
104,mournies,35.4764,24.0092,32.22,45,0,6.17,GR,1689079936
105,kota bharu,6.1333,102.2386,28.97,83,20,0.0,MY,1689079324
106,vallenar,-28.5708,-70.7581,8.66,81,0,0.68,CL,1689079936
107,mount gambier,-37.8333,140.7667,9.39,94,56,3.2,AU,1689079937
108,madimba,-10.4,40.3333,30.62,45,20,7.2,TZ,1689079938
109,rio gallegos,-51.6226,-69.2181,-1.97,93,75,1.03,AR,1689079938
110,la ronge,55.1001,-105.2842,11.14,82,20,1.03,CA,1689079939
111,qaqortoq,60.7167,-46.0333,8.71,90,100,2.9,GL,1689079939
